url,type,locale,priority
https://www.marykay.com/en/body-sun/body-sun-concern/hand-care,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/hand-care,category,es_US,0.5
https://www.marykay.com/en/fragrance/scent/floral,category,en_US,0.5
https://www.marykay.com/es/fragrance/scent/floral,category,es_US,0.5
https://www.marykay.com/en/fragrance/scent/masculine,category,en_US,0.5
https://www.marykay.com/es/fragrance/scent/masculine,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-category/gifts-category-tools,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-category/gifts-category-tools,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-for/gifts-him,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-for/gifts-him,category,es_US,0.5
https://www.marykay.com/en/gifts/price-range/dollar-25-and-under,category,en_US,0.5
https://www.marykay.com/es/gifts/price-range/dollar-25-and-under,category,es_US,0.5
https://www.marykay.com/en/discover/makeup-trends-techniques,content,en_US,0.5
https://www.marykay.com/es/discover/makeup-trends-techniques,content,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-product-type,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-product-type,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-category/gifts-category-skin-care,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-category/gifts-category-skin-care,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-category/gifts-category-fragrance,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-category/gifts-category-fragrance,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-for/gifts-teens,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-for/gifts-teens,category,es_US,0.5
https://www.marykay.com/en/discover,other,en_US,0.5
https://www.marykay.com/es/discover,other,es_US,0.5
https://www.marykay.com/en/be-a-beauty-consultant,other,en_US,0.5
https://www.marykay.com/es/be-a-beauty-consultant,other,es_US,0.5
https://www.marykay.com/en/discover/love-your-skin/ingredient-glossary,content,en_US,0.5
https://www.marykay.com/es/discover/love-your-skin/ingredient-glossary,content,es_US,0.5
https://www.marykay.com/en/skincare,other,en_US,0.5
https://www.marykay.com/es/skincare,other,es_US,0.5
https://www.marykay.com/en/skincare/collection,category,en_US,0.5
https://www.marykay.com/es/skincare/collection,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/mary-kay-skin-care,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/mary-kay-skin-care,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/timewise,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/timewise,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/clear-proof,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/clear-proof,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/satin-collection,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/satin-collection,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/mk-men,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/mk-men,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/clinical-solutions,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/clinical-solutions,category,es_US,0.5
https://www.marykay.com/en/skincare/concern/age-fighting,category,en_US,0.5
https://www.marykay.com/es/skincare/concern/age-fighting,category,es_US,0.5
https://www.marykay.com/en/skincare/concern/advanced-age-fighting,category,en_US,0.5
https://www.marykay.com/es/skincare/concern/advanced-age-fighting,category,es_US,0.5
https://www.marykay.com/en/skincare/concern/skin-care-concern-moisturizing,category,en_US,0.5
https://www.marykay.com/es/skincare/concern/skin-care-concern-moisturizing,category,es_US,0.5
https://www.marykay.com/en/skincare/concern/sensitive-skin,category,en_US,0.5
https://www.marykay.com/es/skincare/concern/sensitive-skin,category,es_US,0.5
https://www.marykay.com/en/skincare/concern/blemishes-acne,category,en_US,0.5
https://www.marykay.com/es/skincare/concern/blemishes-acne,category,es_US,0.5
https://www.marykay.com/en/skincare/concern/skin-care-concern-sun-care,category,en_US,0.5
https://www.marykay.com/es/skincare/concern/skin-care-concern-sun-care,category,es_US,0.5
https://www.marykay.com/en/mens/mens-skincare,category,en_US,0.5
https://www.marykay.com/es/mens/mens-skincare,category,es_US,0.5
https://www.marykay.com/en/skincare/product,category,en_US,0.5
https://www.marykay.com/es/skincare/product,category,es_US,0.5
https://www.marykay.com/en/makeup,other,en_US,0.5
https://www.marykay.com/es/makeup,other,es_US,0.5
https://www.marykay.com/en/makeup/face,category,en_US,0.5
https://www.marykay.com/es/makeup/face,category,es_US,0.5
https://www.marykay.com/en/makeup/eyes,category,en_US,0.5
https://www.marykay.com/es/makeup/eyes,category,es_US,0.5
https://www.marykay.com/en/makeup/cheeks,category,en_US,0.5
https://www.marykay.com/es/makeup/cheeks,category,es_US,0.5
https://www.marykay.com/en/makeup/lips,category,en_US,0.5
https://www.marykay.com/es/makeup/lips,category,es_US,0.5
https://www.marykay.com/en/makeup/makeup-tools,category,en_US,0.5
https://www.marykay.com/es/makeup/makeup-tools,category,es_US,0.5
https://www.marykay.com/en/fragrance/womens-collection,category,en_US,0.5
https://www.marykay.com/es/fragrance/womens-collection,category,es_US,0.5
https://www.marykay.com/en/gifts/price-range,category,en_US,0.5
https://www.marykay.com/es/gifts/price-range,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-concern/sun,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/sun,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-product-type/body-wash-shower-gel,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-product-type/body-wash-shower-gel,category,es_US,0.5
https://www.marykay.com/en/discover/love-your-skin,content,en_US,0.5
https://www.marykay.com/es/discover/love-your-skin,content,es_US,0.5
https://www.marykay.com/en/discover/love-your-skin/build-a-skin-care-routine,content,en_US,0.5
https://www.marykay.com/es/discover/love-your-skin/build-a-skin-care-routine,content,es_US,0.5
https://www.marykay.com/en/gifts,other,en_US,0.5
https://www.marykay.com/es/gifts,other,es_US,0.5
https://www.marykay.com/en/skincare/product/exfoliator,category,en_US,0.5
https://www.marykay.com/es/skincare/product/exfoliator,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-concern/cleansing,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/cleansing,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-concern/foot-care,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/foot-care,category,es_US,0.5
https://www.marykay.com/en/discover/makeup-trends-techniques/saharan-dusk,content,en_US,0.5
https://www.marykay.com/es/discover/makeup-trends-techniques/saharan-dusk,content,es_US,0.5
https://www.marykay.com/en/discover/virtual-beauty-tools/foundation-finder,content,en_US,0.5
https://www.marykay.com/es/discover/virtual-beauty-tools/foundation-finder,content,es_US,0.5
https://www.marykay.com/en/best-sellers,category,en_US,0.5
https://www.marykay.com/es/best-sellers,category,es_US,0.5
https://www.marykay.com/en/discover/makeup-trends-techniques/how-to-strawberry-makeup,content,en_US,0.5
https://www.marykay.com/es/discover/makeup-trends-techniques/how-to-strawberry-makeup,content,es_US,0.5
https://www.marykay.com/en/body-sun,other,en_US,0.5
https://www.marykay.com/es/body-sun,other,es_US,0.5
https://www.marykay.com/en/fragrance,other,en_US,0.5
https://www.marykay.com/es/fragrance,other,es_US,0.5
https://www.marykay.com/en/mens,other,en_US,0.5
https://www.marykay.com/es/mens,other,es_US,0.5
https://www.marykay.com/en/gifts/gifts-for,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-for,category,es_US,0.5
https://www.marykay.com/en/skincare/product/skin-care-essentials,category,en_US,0.5
https://www.marykay.com/es/skincare/product/skin-care-essentials,category,es_US,0.5
https://www.marykay.com/en/skincare/product/targeted-solutions,category,en_US,0.5
https://www.marykay.com/es/skincare/product/targeted-solutions,category,es_US,0.5
https://www.marykay.com/en/makeup/face/cc-cream,category,en_US,0.5
https://www.marykay.com/es/makeup/face/cc-cream,category,es_US,0.5
https://www.marykay.com/en/makeup/cheeks/contour-and-highlight,category,en_US,0.5
https://www.marykay.com/es/makeup/cheeks/contour-and-highlight,category,es_US,0.5
https://www.marykay.com/en/makeup/lips/lip-liner,category,en_US,0.5
https://www.marykay.com/es/makeup/lips/lip-liner,category,es_US,0.5
https://www.marykay.com/en/makeup/lips/lip-balm,category,en_US,0.5
https://www.marykay.com/es/makeup/lips/lip-balm,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-concern/body-sun-concern-age-fighting,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/body-sun-concern-age-fighting,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-product-type/lotion-cream,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-product-type/lotion-cream,category,es_US,0.5
https://www.marykay.com/en/fragrance/scent/woody,category,en_US,0.5
https://www.marykay.com/es/fragrance/scent/woody,category,es_US,0.5
https://www.marykay.com/en/fragrance/scent,category,en_US,0.5
https://www.marykay.com/es/fragrance/scent,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-category,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-category,category,es_US,0.5
https://www.marykay.com/en/skincare/product/serum-and-oil,category,en_US,0.5
https://www.marykay.com/es/skincare/product/serum-and-oil,category,es_US,0.5
https://www.marykay.com/en/skincare/product/skin-care-product-type-moisturizer,category,en_US,0.5
https://www.marykay.com/es/skincare/product/skin-care-product-type-moisturizer,category,es_US,0.5
https://www.marykay.com/en/skincare/product/sets,category,en_US,0.5
https://www.marykay.com/es/skincare/product/sets,category,es_US,0.5
https://www.marykay.com/en/makeup/cheeks/make-up-cheeks-tools,category,en_US,0.5
https://www.marykay.com/es/makeup/cheeks/make-up-cheeks-tools,category,es_US,0.5
https://www.marykay.com/en/makeup/makeup-tools/brushes,category,en_US,0.5
https://www.marykay.com/es/makeup/makeup-tools/brushes,category,es_US,0.5
https://www.marykay.com/en/makeup/makeup-tools/travel-bag,category,en_US,0.5
https://www.marykay.com/es/makeup/makeup-tools/travel-bag,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-product-type/body-care-essentials,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-product-type/body-care-essentials,category,es_US,0.5
https://www.marykay.com/en/skincare/product/toner-freshener,category,en_US,0.5
https://www.marykay.com/es/skincare/product/toner-freshener,category,es_US,0.5
https://www.marykay.com/en/makeup/face/make-up-face-tools,category,en_US,0.5
https://www.marykay.com/es/makeup/face/make-up-face-tools,category,es_US,0.5
https://www.marykay.com/en/makeup/eyes/eye-shadow,category,en_US,0.5
https://www.marykay.com/es/makeup/eyes/eye-shadow,category,es_US,0.5
https://www.marykay.com/en/makeup/eyes/brows,category,en_US,0.5
https://www.marykay.com/es/makeup/eyes/brows,category,es_US,0.5
https://www.marykay.com/en/makeup/eyes/make-up-eyes-tools,category,en_US,0.5
https://www.marykay.com/es/makeup/eyes/make-up-eyes-tools,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-concern/dryness,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/dryness,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-product-type/set,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-product-type/set,category,es_US,0.5
https://www.marykay.com/en/skincare/collection/timewise-repair,category,en_US,0.5
https://www.marykay.com/es/skincare/collection/timewise-repair,category,es_US,0.5
https://www.marykay.com/en/skincare/concern,category,en_US,0.5
https://www.marykay.com/es/skincare/concern,category,es_US,0.5
https://www.marykay.com/en/gifts/gifts-category/gifts-category-makeup,category,en_US,0.5
https://www.marykay.com/es/gifts/gifts-category/gifts-category-makeup,category,es_US,0.5
https://www.marykay.com/en/discover/virtual-beauty-tools/interactive-catalog,content,en_US,0.5
https://www.marykay.com/es/discover/virtual-beauty-tools/interactive-catalog,content,es_US,0.5
https://www.marykay.com/en/award-winners,category,en_US,0.5
https://www.marykay.com/es/award-winners,category,es_US,0.5
https://www.marykay.com/en/skincare/product/mask,category,en_US,0.5
https://www.marykay.com/es/skincare/product/mask,category,es_US,0.5
https://www.marykay.com/en/makeup/makeup-tools/sponges,category,en_US,0.5
https://www.marykay.com/es/makeup/makeup-tools/sponges,category,es_US,0.5
https://www.marykay.com/en/fragrance/scent/fruity,category,en_US,0.5
https://www.marykay.com/es/fragrance/scent/fruity,category,es_US,0.5
https://www.marykay.com/en/discover/makeup-trends-techniques/how-to-glass-lips,content,en_US,0.5
https://www.marykay.com/es/discover/makeup-trends-techniques/how-to-glass-lips,content,es_US,0.5
https://www.marykay.com/en/discover/makeup-trends-techniques/all-eyes-on-hue,content,en_US,0.5
https://www.marykay.com/es/discover/makeup-trends-techniques/all-eyes-on-hue,content,es_US,0.5
https://www.marykay.com/en/fragrance/mens-collection,category,en_US,0.5
https://www.marykay.com/es/fragrance/mens-collection,category,es_US,0.5
https://www.marykay.com/en/skincare/product/eye-care,category,en_US,0.5
https://www.marykay.com/es/skincare/product/eye-care,category,es_US,0.5
https://www.marykay.com/en/makeup/eyes/eyes-makeup-remover,category,en_US,0.5
https://www.marykay.com/es/makeup/eyes/eyes-makeup-remover,category,es_US,0.5
https://www.marykay.com/en/makeup/lips/lipstick,category,en_US,0.5
https://www.marykay.com/es/makeup/lips/lipstick,category,es_US,0.5
https://www.marykay.com/en/makeup/lips/lip-gloss,category,en_US,0.5
https://www.marykay.com/es/makeup/lips/lip-gloss,category,es_US,0.5
https://www.marykay.com/en/body-sun/body-sun-concern/firming,category,en_US,0.5
https://www.marykay.com/es/body-sun/body-sun-concern/firming,category,es_US,0.5
https://www.marykay.com/en/discover/love-your-skin/skin-care-101,content,en_US,0.5
https://www.marykay.com/es/discover/love-your-skin/skin-care-101,content,es_US,0.5
https://www.marykay.com/en/discover/about-mary-kay,content,en_US,0.5
https://www.marykay.com/es/discover/about-mary-kay,content,es_US,0.5
https://www.marykay.com/en/discover/virtual-beauty-tools,content,en_US,0.5
https://www.marykay.com/es/discover/virtual-beauty-tools,content,es_US,0.5
https://www.marykay.com/en/discover/love-your-skin/what-skin-type-am-i,content,en_US,0.5
https://www.marykay.com/es/discover/love-your-skin/what-skin-type-am-i,content,es_US,0.5
https://www.marykay.com/en/what-skin-type-am-i.html,other,en_US,0.5
https://www.marykay.com/es/what-skin-type-am-i.html,other,es_US,0.5
https://www.marykay.com/en/discover.html,other,en_US,0.5
https://www.marykay.com/es/discover.html,other,es_US,0.5
https://www.marykay.com/en/build-a-skin-care-routine.html,other,en_US,0.5
https://www.marykay.com/es/build-a-skin-care-routine.html,other,es_US,0.5
https://www.marykay.com/en/ingredient-glossary.html,other,en_US,0.5
https://www.marykay.com/es/ingredient-glossary.html,other,es_US,0.5
https://www.marykay.com/en/contact-us.html,other,en_US,0.5
https://www.marykay.com/es/contact-us.html,other,es_US,0.5
https://www.marykay.com/en/foundation-finder.html,other,en_US,0.5
https://www.marykay.com/es/foundation-finder.html,other,es_US,0.5
https://www.marykay.com/en/mirrorme.html,other,en_US,0.5
https://www.marykay.com/es/mirrorme.html,other,es_US,0.5
https://www.marykay.com/en/be-a-beauty-consultant.html,other,en_US,0.5
https://www.marykay.com/es/be-a-beauty-consultant.html,other,es_US,0.5
https://www.marykay.com/en/skin-care-101.html,content,en_US,0.5
https://www.marykay.com/es/skin-care-101.html,content,es_US,0.5
https://www.marykay.com/en/about-mary-kay.html,content,en_US,0.5
https://www.marykay.com/es/about-mary-kay.html,content,es_US,0.5
https://www.marykay.com/en/blackberry-vinyl.html,other,en_US,0.5
https://www.marykay.com/es/blackberry-vinyl.html,other,es_US,0.5
https://www.marykay.com/en/all-eyes-on-hue.html,other,en_US,0.5
https://www.marykay.com/es/all-eyes-on-hue.html,other,es_US,0.5
https://www.marykay.com/en/saharan-dusk.html,other,en_US,0.5
https://www.marykay.com/es/saharan-dusk.html,other,es_US,0.5
https://www.marykay.com/en/how-to-glass-lips.html,content,en_US,0.5
https://www.marykay.com/es/how-to-glass-lips.html,content,es_US,0.5
https://www.marykay.com/en/how-to-strawberry-makeup.html,content,en_US,0.5
https://www.marykay.com/es/how-to-strawberry-makeup.html,content,es_US,0.5
https://www.marykay.com/en/home,content,en_US,0.5
https://www.marykay.com/es/home,content,es_US,0.5
