url,canonical_url,title,content_hash,locale,page_type
https://www.marykay.com/es/makeup/face/concealer/mary-kay-multibenefit-concealer/237071US.html,/es/makeup/face/concealer/mary-kay-multi-benefit-concealer-light-1-10210476/990331205US10210476.html,Mary Kay® Multi-Benefit Concealer | Mary Kay,6759c865727963d1eab555d83de81c6d5feae4cca2612d668a3c3e0a7257943a,es_US,product
https://www.marykay.com/en/root/mary-kay-gel-semishine-lipstick-naturally-buff-301084/301084US10094608.html,/en/root/mary-kay-gel-semishine-lipstick-naturally-buff-301084/301084US10094608.html,Mary Kay® Gel Semi-Shine Lipstick | Mary Kay,b2a9f238511de2d86d27bb4a0cc922a728e776ae01f446cde2be776ccbb7ee49,en_US,product
https://www.marykay.com/es/root/mary-kay-gel-semishine-lipstick-naturally-buff-301084/301084US10094608.html,/es/root/mary-kay-gel-semishine-lipstick-naturally-buff-301084/301084US10094608.html,Mary Kay® Gel Semi-Shine Lipstick | Mary Kay,ccbdcd55e42bcdcee76a6390aae34967d790c02776814b989f58b6b7e9f69326,es_US,product
https://www.marykay.com/en/mens/mens-skincare/mkmen-regimen-10242538/990275224US10242538.html,/en/mens/mens-skincare/mkmen-regimen-10242538/990275224US10242538.html,MKMen® Regimen | Mary Kay,296fb76792b7b06a50e50545fcb34922dd2c1854d9cd40ec63984cc85f1a4893,en_US,product
https://www.marykay.com/es/mens/mens-skincare/mkmen-regimen-10242538/990275224US10242538.html,/es/mens/mens-skincare/mkmen-regimen-10242538/990275224US10242538.html,MKMen® Regimen | Mary Kay,8b43d24e53ceee502779058082aee75b516272e69189efee7a103f82bdd25fee,es_US,product
https://www.marykay.com/en/skincare/collection/mk-men/mkmen-moisturizing-shave-cream-10234520/990319184US10234520.html,/en/skincare/collection/mk-men/mkmen-moisturizing-shave-cream-10234520/990319184US10234520.html,MKMen® Moisturizing Shave Cream | Mary Kay,007448c064fc41c9e183c01fd19028a91520f43280db3059c398c51a0d53d149,en_US,product
https://www.marykay.com/es/skincare/collection/mk-men/mkmen-moisturizing-shave-cream-10234520/990319184US10234520.html,/es/skincare/collection/mk-men/mkmen-moisturizing-shave-cream-10234520/990319184US10234520.html,MKMen® Moisturizing Shave Cream | Mary Kay,7d3192ccbeacd7151cb457454f1e4049ada14198272d874808289b58132e9532,es_US,product
https://www.marykay.com/en/skincare/collection/mary-kay-skin-care/mary-kay-hydrating-regimen-990322397/990322397US10230672.html,/en/skincare/collection/mary-kay-skin-care/mary-kay-hydrating-regimen-990322397/990322397US10230672.html,Mary Kay® Hydrating Regimen | Mary Kay,54b3d60122d6af23882cd966c037aceb59b9973457e36ea52ff38958426d43ff,en_US,product
https://www.marykay.com/es/skincare/collection/mary-kay-skin-care/mary-kay-hydrating-regimen-990322397/990322397US10230672.html,/es/skincare/collection/mary-kay-skin-care/mary-kay-hydrating-regimen-990322397/990322397US10230672.html,Mary Kay® Hydrating Regimen | Mary Kay,d9714c99c612ac04ff8d3ad42b302c726f586c2fdb99c81cc86f6b6360d6cf4d,es_US,product
https://www.marykay.com/en/hidden-subcategory/cello-gift-bag-990323876/990323876US10228894.html,/en/hidden-subcategory/cello-gift-bag-990323876/990323876US10228894.html,Cello Gift Bag | Mary Kay,bdfd3d0327f883ea3628ebab0e7d0ddf55188517bcce8b19f49f25c275383655,en_US,product
https://www.marykay.com/es/hidden-subcategory/cello-gift-bag-990323876/990323876US10228894.html,/es/hidden-subcategory/cello-gift-bag-990323876/990323876US10228894.html,Cello Gift Bag | Mary Kay,f2d431c73aa40eb2801e88bef65610ec8d67d8c10c0b4fb6d5bcadbcffead894,es_US,product
https://www.marykay.com/en/skincare/collection/clear-proof/clear-proof-clarifying-cleansing-gel-10233551/990331674US10233551.html,/en/skincare/collection/clear-proof/clear-proof-clarifying-cleansing-gel-10233551/990331674US10233551.html,Clear Proof® Clarifying Cleansing Gel** | Mary Kay,207fc1ba0b9d9af67d6649d66635f9ece9e08f94dea02b83263f9a5e03279b13,en_US,product
https://www.marykay.com/es/skincare/collection/clear-proof/clear-proof-clarifying-cleansing-gel-10233551/990331674US10233551.html,/es/skincare/collection/clear-proof/clear-proof-clarifying-cleansing-gel-10233551/990331674US10233551.html,Clear Proof® Clarifying Cleansing Gel** | Mary Kay,c5333e460fb636b6b1f6b5a84f4ce938b178b066eb26a2798b61b898b8bd129f,es_US,product
https://www.marykay.com/en/mens/mens-fragrance,/en/mens/mens-fragrance,Fragrance | Mary Kay,c82baa3ac23d8e7dd12fd91fa006000ac3f467d53233d5a9b4412a7fdb39503a,en_US,category
https://www.marykay.com/es/mens/mens-fragrance,/es/mens/mens-fragrance,Fragrancias | Mary Kay,445bdf09f6ff86901ebb1e4f90451bd9c97d16fdd4ab2cc414fc88e4adb74bf2,es_US,category
https://www.marykay.com/en/gifts/gifts-for/gifts-her,/en/gifts/gifts-for/gifts-her,Her | Mary Kay,09fbba003bade41ca412a4cc147b149245436ead7a16d125f14d5de7c5e937d9,en_US,category
https://www.marykay.com/es/gifts/gifts-for/gifts-her,/es/gifts/gifts-for/gifts-her,Ella | Mary Kay,a81a71611bc9a579a5124f25b90c452e5761b7c348e87ec711eec3af87f7cc77,es_US,category
https://www.marykay.com/en/skincare/product/makeup-remover,/en/skincare/product/makeup-remover,Makeup Remover | Mary Kay,85a7c6c51c475da1e6061bd730af8c6fdb242ed07c0efcec4744fe9198706aa4,en_US,category
https://www.marykay.com/es/skincare/product/makeup-remover,/es/skincare/product/makeup-remover,Desmaquillador | Mary Kay,093265b9763fde995a51c2a76d8cd18f4a29bb7b1639fe916c69d7660da8ba37,es_US,category
https://www.marykay.com/en/makeup/face/primer,/en/makeup/face/primer,Primer | Mary Kay,3a4684551a3740f2093467c806db9bb1a4441dba1954a0078492e6cd60d31201,en_US,category
